host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
0,1,1,1,40.70863,-73.94641,0,3,0,1.0,1.0,4,90,157,90.0,9.0,9.0,9.0,9.0,10.0,9.0,0,1.33,1,5,0,0,0,0,0,0
0,1,1,1,40.673190000000005,-73.97323,0,2,0,1.0,1.0,5,20,11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.1,1,5,0,0,0,0,0,0
1,1,1,2,40.71904,-73.99391999999999,0,5,0,2.0,2.0,1,365,144,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.28,1,5,0,0,0,0,0,0
0,1,1,2,40.81322,-73.95306,0,5,0,2.0,2.0,6,365,209,87.0,9.0,9.0,10.0,10.0,9.0,9.0,1,1.82,1,5,0,0,0,0,0,0
0,1,1,1,40.67732,-73.98225,0,5,0,1.0,3.0,2,360,250,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2.14,1,5,0,0,0,0,0,0
1,1,1,1,40.68076,-73.9896,0,3,0,1.0,1.0,2,270,89,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.88,1,5,0,0,0,0,0,0
1,1,1,2,40.79544,-73.94836,0,2,0,1.0,2.0,28,365,29,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0.3,2,5,0,0,0,0,0,0
1,1,1,1,40.71492,-73.96282,0,4,0,1.0,2.0,30,89,62,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.54,1,4,0,0,0,0,0,0
1,1,1,2,40.80332,-73.95741,2,2,1,1.0,1.0,15,30,112,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.98,1,5,0,0,0,0,0,0
0,1,1,2,40.83035,-73.94933,2,1,0,1.0,2.0,15,300,66,91.0,9.0,8.0,10.0,10.0,9.0,9.0,0,0.61,1,4,0,0,0,0,0,0
1,1,1,1,40.67817,-73.99495,0,5,0,3.0,4.0,4,60,138,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.47,1,5,0,0,0,0,0,0
0,1,1,1,40.731190000000005,-73.95578,2,2,0,1.0,1.0,3,30,7,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0.1,1,5,0,0,0,0,0,0
0,1,1,2,40.78,-73.98249,0,2,0,1.0,1.0,30,120,50,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0.49,1,5,0,0,0,0,0,0
0,1,1,2,40.73198,-73.98881,2,1,1,1.0,1.0,14,1000,53,97.0,9.0,9.0,10.0,10.0,10.0,10.0,0,0.55,1,4,0,0,0,0,0,0
1,1,1,2,40.716590000000004,-73.98945,0,2,0,1.0,1.0,25,1125,48,96.0,10.0,9.0,10.0,10.0,9.0,10.0,0,0.41,1,5,0,0,0,0,0,0
0,1,1,2,40.729659999999996,-74.00243,0,2,0,1.0,1.0,30,365,42,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0.41,1,5,0,0,0,0,0,0
0,1,1,2,40.77728,-73.97818000000001,0,2,0,1.0,0.0,13,90,38,91.0,9.0,8.0,10.0,10.0,10.0,9.0,0,0.34,1,5,0,0,0,0,0,0
1,1,1,1,40.71113,-73.96054000000001,0,4,0,1.0,1.0,30,1125,90,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.8,1,5,0,0,0,0,0,0
0,1,1,2,40.80892,-73.93985,0,3,0,1.0,2.0,28,365,36,82.0,9.0,8.0,10.0,9.0,8.0,9.0,0,0.33,1,4,0,0,0,0,0,0
0,0,0,2,40.80648,-73.9487,0,5,0,2.0,2.0,5,90,47,93.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0.41,1,5,0,0,0,0,0,0
1,1,1,1,40.66552,-73.99019,0,4,0,2.0,3.0,30,1125,434,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.79,1,5,0,0,0,0,0,0
0,1,1,1,40.68674,-73.98876,0,4,0,2.0,2.0,4,7,6,92.0,9.0,8.0,10.0,10.0,10.0,9.0,1,0.08,4,5,0,0,0,0,0,0
0,1,1,2,40.723290000000006,-73.98486,2,2,1,1.0,2.0,2,60,200,87.0,9.0,8.0,10.0,10.0,10.0,9.0,0,1.76,2,4,0,0,0,0,0,0
